fid;osm_id;osm_type;name;healthcare;amenity;speciality;emergency;operator;operator_type;phone;website;addr_street;addr_housenumber;addr_suburb;addr_city;addr_postcode;wheelchair;longitude;latitude
7388;681295998;way;USF 2;clinic;clinic;general;;Governo;;;;Rua Paulo Remelli;;Centro;Anhumas;19580-000;yes;-51.3907493;-22.2960315
7311;669201242;way;PSF Arisa Berbert Chedid;clinic;clinic;;;;;;;;;;;;;-51.5123216;-22.2848446
7277;661920542;way;ESF Jardim Vantini;clinic;clinic;general;;Prefeitura Municipal de Pirapozinho;;;;Rua Francisco Ortiz Amigo;101;Jardim Vantini;Pirapozinho;19200-000;;-51.4897653;-22.2827709
7301;668491420;way;Drogaria Estrela;pharmacy;pharmacy;;;;;;;Rua Doutora Cássia Maria Martins;270;Vila Roxinol;Pirapozinho;19200000;;-51.4917535;-22.2792601
5137;185162573;way;Farmácia São João;pharmacy;pharmacy;;;;;;;;;;;;;-51.5003417;-22.2766937
7275;661608826;way;Unidade Básica de Saúde II Doutor Plinio Arantes Barreto;clinic;clinic;general;;Prefeitura Municipal de Pirapozinho;;+55 18 3269 1080;;Rua Oscar de Toledo Cesar;336;Centro;Pirapozinho;19200-000;;-51.4943942;-22.2760405
7303;668508718;way;Dr. Adilson Dias & Drª. Alba Cristina P. Dias;dentist;dentist;dentistry;;;;;;Praça Padre Hilário Pierik;1;Centro;Pirapozinho;19200000;;-51.5006774;-22.2758765
7274;661608825;way;Pronto Atendimento Municipal;hospital;hospital;general;;Prefeitura Municipal de Pirapozinho;;;;Rua Euclides da Cunha;191;Centro;Pirapozinho;19200-000;;-51.4940213;-22.275796
7282;662561888;way;Dr. Tadao Nishimura;dentist;dentist;;;;;;;Praça Padre Hilário Pierik;35;Centro;Pirapozinho;19200000;;-51.5000091;-22.2757797
7276;661608829;way;Hospital e Maternidade Nossa Senhora Aparecida;hospital;hospital;"general;maternity";;Private;;;;Rua José Bonifácio Mori;25;Centro;Pirapozinho;19200-000;;-51.4943675;-22.2757303
7281;662561887;way;Carla Cabral Maturana;dentist;dentist;;;;;;;Praça Padre Hilário Pierik;13;Centro;Pirapozinho;19200000;;-51.4998698;-22.2756167
7310;668979085;way;Centro Municipal De Fisioterapia;physiotherapist;;;;Prefeitura Municipal de Pirapozinho;;;;Rua Monteiro Lobato;;Residencial Daleffe;Pirapozinho;19200000;;-51.5069979;-22.2756143
7279;662265450;way;Centrofisio - Fisioterapia e Pilates;physiotherapist;;;;;;;;Praça Padre Hilário Pierik;26;Centro;Pirapozinho;19200000;;-51.4998513;-22.2752281
7302;668508690;way;Drogaria Martins;pharmacy;pharmacy;;;;;;;Rua Marechal Floriano Peixoto;465;Centro;Pirapozinho;19200000;;-51.4964331;-22.2751367
6784;569148061;way;Posto de Saúde da Vila Zalla;clinic;clinic;"paediatrics;gynaecology;childcare;obstetrics;general;dentistry";;Prefeitura Municipal de Laranjal Paulista;;+55 15 3283-2784;;Rua Santo Ângelo;;Jardim Pedro Zalla;Laranjal Paulista;18500-000;;-47.8402549;-23.0430494
6890;592902296;way;Posto de Saúde de Maristela;clinic;clinic;"general;gynaecology;dentistry;paediatrics";;Prefeitura Municipal de Laranjal Paulista;;+55 15 3287-1044;;Rua Francisco Migliani;;Maristela;Laranjal Paulista;18510-000;;-47.8899653;-23.0403631
7314;670478163;way;UBS Vereador Fábio César Nali;clinic;clinic;;;Prefeitura do Município de Pereiras;;;;Rua Mário Turri;55;;Pereiras;;;-47.9463877;-23.0359235
6447;538472198;way;Posto de Saúde de Laras;clinic;clinic;"general;dentistry;gynaecology";;Prefeitura Municipal de Laranjal Paulista;government;+55 15 3287 6177;;Rua João Henrique Campos;226;Laras;Laranjal Paulista;18505-000;;-47.8982257;-22.9244339
1560;5195622579;node;Centro de Especialidades Odontológicas;dentist;dentist;"dentist;periodontics;dental_oral_maxillo_facial_surgery;endodontics;dental_surgery";;Secretaria Municipal de Saúde de Laranjal Paulista;;+55 15 3283 4108;;Rua Doutor Pereira Barreto;92;Centro;Laranjal Paulista;18500-000;;-47.8372745;-23.0525603
1586;5217001790;node;Alarde;doctor;social_facility;;;;;;http://alarde.org.br/;Rua Doutor Pereira Barreto;82;Centro;Laranjal Paulista;18500-000;;-47.8373789;-23.0524573
2556;8155298840;node;Silvia Ghiraldi Luvisotto;doctor;doctors;;;Silvia Ghiraldi Luvisotto;private;;;Rua Nações Unidas;117;Centro;Laranjal Paulista;18500-000;;-47.8362029;-23.0523195
3032;9968134971;node;Bioativa;pharmacy;pharmacy;homeopathy;;;;;;Rua Nações Unidas;22;Centro;Laranjal Paulista;18500-000;;-47.8367787;-23.05196
1597;5227352453;node;Farmaclin Medicamentos;pharmacy;pharmacy;;;;;;;Rua Governador Pedro de Toledo;139;Centro;Laranjal Paulista;18500-000;;-47.8356474;-23.0518101
2540;8155298824;node;Labclin Laboratório de Análises Clínicas;laboratory;;;;Farmaclin Medicamentos e Laboratório Ltda;private;;;Rua Governador Pedro de Toledo;129;Centro;Laranjal Paulista;18500-000;;-47.8357027;-23.0517501
2548;8155298832;node;Colp Odontologia;dentist;dentist;;;Jaqueline Fiusa de Camargo;private;;;Rua Nações Unidas;13;Centro;Laranjal Paulista;18500-000;;-47.8368056;-23.0517237
1594;5225896972;node;Drogaria Santa Paula 1;pharmacy;pharmacy;;;;;+51 15 3283 1359;;Rua Governador Pedro de Toledo;65;Centro;Laranjal Paulista;18500-000;;-47.8361514;-23.0513193
2544;8155298828;node;Clínica Alves Lima;doctor;doctors;;;;private;;https://clinica-alves-lima.negocio.site/;Rua São Vicente de Paulo;68;Centro;Laranjal Paulista;18500-000;;-47.8343562;-23.0513141
1891;5938719921;node;Drogaria Santa Paula 3;pharmacy;pharmacy;;;;;+55 15 3283 5151;;Praça Armando de Salles Oliveira;80;Centro;Laranjal Paulista;18500-000;;-47.8372803;-23.0513085
2542;8155298826;node;Suzana Dertadian Nicoleti;doctor;dentist;;;Suzana Dertadian Nicoleti;private;;;Praça Armando de Salles Oliveira;62;Centro;Laranjal Paulista;18500-000;;-47.8371296;-23.0512191
2565;8155298850;node;Macro Imagem;doctor;doctors;;;;private;;;Avenida da Saudade;15;Centro;Laranjal Paulista;18500-000;;-47.8362492;-23.0511598
2538;8155298822;node;Biocruz;laboratory;;;;Laboratório de Análises Clínicas Biocruz Ltda ME;private;;;Rua dos Expedicionários;122;Centro;Laranjal Paulista;18500-000;;-47.8352683;-23.0511254
2569;8155298854;node;Paulo Roberto Barbieri;doctor;doctors;;;Paulo Roberto Barbieri;private;;;Rua dos Expedicionários;112;Centro;Laranjal Paulista;18500-000;;-47.8353284;-23.0511124
2630;8400605288;node;Botica Derm;pharmacy;pharmacy;;;;;;;Rua dos Expedicionários;90B;Centro;Laranjal Paulista;18500-000;;-47.8355292;-23.0511027
1591;5225896969;node;Drogaria Bifarma;pharmacy;pharmacy;;;;;+55 15 3283 2112;;Praça Armando de Salles Oliveira;32;Centro;Laranjal Paulista;18500-000;;-47.8369045;-23.0510537
2545;8155298829;node;Nabor Jose Machado Castanheira Junior;doctor;doctors;;;;private;;;Rua São Vicente de Paulo;112;Centro;Laranjal Paulista;18500-000;;-47.8344239;-23.050858
2564;8155298848;node;Tatiane Luvisotto;doctor;doctors;;;Tatiane Luvisotto;private;;;Rua dos Expedicionários;13;Centro;Laranjal Paulista;18500-000;;-47.8362414;-23.050772
1884;5918005836;node;Drogal;pharmacy;pharmacy;;;;;+55 15 3283 5213;;Largo São João;49;Centro;Laranjal Paulista;18500-000;;-47.8369584;-23.0506909
4117;12349637720;node;;doctor;doctors;;;;;;;Rua Delfino de Mello;74;Centro;Laranjal Paulista;18500-041;;-47.8354286;-23.0503217
2570;8155298855;node;Marcio Miguel Orlando;doctor;doctors;;;Marcio Miguel Orlando;private;;;Rua 13 de Maio;39;Centro;Laranjal Paulista;18500-000;;-47.8381226;-23.0498427
1593;5225896971;node;Drogaria São Judas Tadeu;pharmacy;pharmacy;;;;;;;Rua Conselheiro Antônio Prado;25;Centro;Laranjal Paulista;18500-000;;-47.8359503;-23.0497922
1592;5225896970;node;Farmácia Laranjal;pharmacy;pharmacy;;;;;+51 15 3283 6680;;Rua Doutor Oscar Vieira Sampaio;42;Centro;Laranjal Paulista;18500-000;;-47.8368076;-23.0494766
2560;8155298844;node;Odontologia Bado;doctor;doctors;;;;private;;;Rua Barão do Rio Branco;73;Centro;Laranjal Paulista;18500-000;;-47.8361667;-23.0491705
2557;8155298841;node;Marcos Aparecido Pinto;doctor;doctors;;;Marcos Aparecido Pinto;private;;;Rua Barão do Rio Branco;124;Centro;Laranjal Paulista;18500-000;;-47.8358644;-23.0487129
1595;5227352450;node;Drogaria Pharmavida;pharmacy;pharmacy;;;;;+55 15 3283-1178;;Rua Barão do Rio Branco;197;Centro;Laranjal Paulista;18500-000;;-47.8358771;-23.0480331
2854;9382587532;node;Giovanna Zanella Blumer;dentist;dentist;dentist;;;;;;Praça Dom Pedro II;41;Centro;Laranjal Paulista;18500-000;;-47.8370553;-23.0474058
2559;8155298843;node;Tarsila Bado de Almeida;doctor;doctors;;;Tarsila Bado de Almeida;private;;;Praça Dom Pedro II;68;Centro;Laranjal Paulista;18500-000;;-47.83669;-23.047247
2555;8155298839;node;Milton José Schivitaro;doctor;doctors;;;Milton José Schivitaro;private;;;Rua Ordele;33;Centro;Laranjal Paulista;18500-000;;-47.8369658;-23.0469847
2558;8155298842;node;Sergio Honório;dentist;dentist;;;Sergio Honório;private;;;Rua Barão do Rio Branco;384;Centro;Laranjal Paulista;18500-000;;-47.8352825;-23.0463988
1598;5227352455;node;Med Farma;pharmacy;pharmacy;;;;;;;Rua Ordele;169;Centro;Laranjal Paulista;18500-000;;-47.8367261;-23.0458063
1635;5282977562;node;Drogaria Santa Paula 2;pharmacy;pharmacy;;;;;+51 15 3283 6680;;Avenida Cesário Carlos de Almeida;13;Bairro São Benedito;Laranjal Paulista;18500-000;;-47.834806;-23.0437155
2552;8155298836;node;Rosilene Angelica Bordgnon;doctor;doctors;;;Rosilene Angelica Bordgnon;private;;;Rua Tiradentes;136;Bairro São Benedito;Laranjal Paulista;18500-000;;-47.8354078;-23.0415978
2553;8155298837;node;Faraely;psychotherapist;doctors;;;Faraely Prestação de Serviço de Psicologia Ltda;private;;;Rua Clemente de Campos;88 A;Bairro São Benedito;Laranjal Paulista;18500-000;;-47.8381891;-23.0413639
2779;9045384407;node;Drogaria São Roque;pharmacy;pharmacy;;;;;;;Avenida Cesário Carlos de Almeida;520;Bairro São Roque;Laranjal Paulista;18500-000;;-47.8338117;-23.0391352
6787;569454660;way;Posto de Saúde do Bairro do São Roque;clinic;clinic;"general;gynaecology;paediatrics";;Prefeitura Municipal de Laranjal Paulista;government;+55 15 3283 6449;;Rua José Marchesi;;Bairro São Roque;Laranjal Paulista;18500-000;;-47.8327795;-23.0329046
9596;1173555673;way;Posto de Saúde Central;clinic;clinic;"general;gynaecology;paediatrics;physiotherapy;infectious_diseases";;Prefeitura Municipal de Laranjal Paulista;government;+55 15 3283 1117;;Rua Suaidan Abud;221;Centro;Laranjal Paulista;18500-000;;-47.8381663;-23.0522816
8297;871615110;way;Unidade Básica de Saúde da Família Di Napoli;clinic;clinic;;;Secretaria Municipal de Saúde e Promoção Social de Cerquilho;public;;;Rua Osvaldo Malavasi;120;Residencial Di Napoli;Cerquilho;;;-47.7589724;-23.1684677
9437;1133849085;way;Unidade Básica de Saúde da Família Nova Cerquilho;clinic;clinic;;;Secretaria Municipal de Saúde e Promoção Social de Cerquilho;public;;;;;;;;;-47.7550125;-23.1625132
6441;536379121;way;Posto de Saúde do Bairro da Ponte;clinic;clinic;"general;gynaecology;obstetrics;paediatrics;dentistry";;Prefeitura Municipal de Laranjal Paulista;government;+55 15 3283 6555;;Rua Governador Pedro de Toledo;1550;Jardim Alto dos Laranjais;Laranjal Paulista;18500-000;;-47.8296251;-23.0632159
6435;534376046;way;Santa Casa de Laranjal Paulista;hospital;hospital;"cardiology;general;gynaecology;orthopaedics;surgery";yes;Irmandade da Santa Casa de Misericórdia de Laranjal Paulista;private_non_profit;+55 15 3383 9191;https://www.santacasalaranjal.com.br/;Rua Governador Pedro de Toledo;633;Vila São José;Laranjal Paulista;18500-000;;-47.8324165;-23.0552695
6899;597803588;way;Centro de Especialidades Médicas;centre;clinic;general;;Prefeitura Municipal de Laranjal Paulista;;+55 15 3283-5530;https://www.laranjalpaulista.sp.gov.br/artigo/inauguracao-do-novo-centro-de-especialidades-helena-fadel-gazonato-na-vila-sao-jose;Rua Murilo de Freitas Vieira;136;Vila São José;Laranjal Paulista;18500-000;;-47.8290487;-23.0548975
2549;8155298833;node;Clínica de Fisio e Fono Camarim Gazonato;doctor;doctors;;;Clínica de Fisioterapia e Fonoaudiologia Camarin Gazonato;private;;;Rua Guilherme Marconi;183;Centro;Laranjal Paulista;18500-000;;-47.8369908;-23.0539157
2568;8155298853;node;Bem Viver Clínica Médica;doctor;doctors;;;;private;;;Rua Nações Unidas;336;Vila Campacci;Laranjal Paulista;18500-000;;-47.8349703;-23.0538948
2563;8155298847;node;Realce Odontologia Moderna;doctor;dentist;;;Realce Odontologia Moderna EIRELI;private;;;Rua Camilo Palandri;147;Vila Manente;Laranjal Paulista;18500-000;;-47.8331067;-23.053623
2571;8155298856;node;Rodrigues Alves Prestadora de Serviços Médicos;doctor;doctors;;;Rodrigues Alves Prestadora de Serviços Médicos;private;;;Rua Governador Pedro de Toledo;360;Centro;Laranjal Paulista;18500-000;;-47.8343878;-23.053454
2546;8155298830;node;Leandro Umberto de Paula;doctor;doctors;;;Leandro Umberto de Paula;private;;;Rua Nações Unidas;269;Vila Campacci;Laranjal Paulista;18500-000;;-47.8351642;-23.0534544
2535;8155298818;node;Clínica Sampaio;doctor;doctors;;;Clinica Dr Djalma Sampaio LTDA;private;;;Rua Nações Unidas;254;Vila Campacci;Laranjal Paulista;18500-000;;-47.8354081;-23.0534047
2561;8155298845;node;Luis Poggi Filho;doctor;doctors;;;Luis Poggi Filho;private;;;Rua Nações Unidas;257;Vila Campacci;Laranjal Paulista;18500-000;;-47.835221;-23.0533784
2629;8398429744;node;Laboratório São José;laboratory;;clinical_pathology;;Laboratório São José Ltda;private;;;Rua Nações Unidas;244;Vila Campacci;Laranjal Paulista;18500-000;;-47.8354675;-23.0533444
